acacia_door_bottom.png,0
acacia_door_top.png,0
acacia_leaves.png,1,unused
acacia_log.png,1,full block
acacia_log_top.png,1,full block
acacia_planks.png,1,full block
acacia_sapling.png,0
acacia_trapdoor.png,0
activator_rail.png,1,unused
activator_rail_on.png,1,unused
allium.png,1,cross
amethyst_block.png,1,full block
amethyst_cluster.png,1,cross
ancient_debris_side.png,2,full block,directional
ancient_debris_top.png,3,full block,top,directional
andesite.png,1,full block
anvil.png,1,unused
anvil_top.png,1,unused
attached_melon_stem.png,1,unused
attached_pumpkin_stem.png,1,unused
azalea_leaves.png,1,full block
azalea_plant.png,0
azalea_side.png,1,unused
azalea_top.png,1,top
azure_bluet.png,1,cross
bamboo_block.png,1,full block
bamboo_block_top.png,2,full block,top
bamboo_door_bottom.png,0
bamboo_door_top.png,0
bamboo_fence.png,1,unused
bamboo_fence_gate.png,1,unused
bamboo_fence_gate_particle.png,1,unused
bamboo_fence_particle.png,1,unused
bamboo_large_leaves.png,1,unused
bamboo_mosaic.png,1,full block
bamboo_planks.png,1,full block
bamboo_singleleaf.png,1,unused
bamboo_small_leaves.png,1,unused
bamboo_stage0.png,1,cross
bamboo_stalk.png,1,unused
bamboo_trapdoor.png,0
barrel_bottom.png,2,full block,bottom
barrel_side.png,2,full block,directional
barrel_top.png,2,full block,top
barrel_top_open.png,2,full block,directional
basalt_side.png,1,full block
basalt_top.png,2,full block,top
beacon.png,1,unused
bedrock.png,1,full block
beehive_end.png,2,full block,bottom
beehive_front.png,2,full block,directional
beehive_front_honey.png,2,full block,directional
beehive_side.png,2,full block,directional
beetroots_stage0.png,0
beetroots_stage1.png,0
beetroots_stage2.png,0
beetroots_stage3.png,0
bee_nest_bottom.png,2,full block,bottom
bee_nest_front.png,2,full block,directional
bee_nest_front_honey.png,2,full block,directional
bee_nest_side.png,2,full block,directional
bee_nest_top.png,2,full block,top
bell_bottom.png,1,unused
bell_side.png,1,unused
bell_top.png,1,unused
big_dripleaf_side.png,1,unused
big_dripleaf_stem.png,1,unused
big_dripleaf_tip.png,1,unused
big_dripleaf_top.png,1,unused
birch_door_bottom.png,0
birch_door_top.png,0
birch_leaves.png,1,unused
birch_log.png,1,full block
birch_log_top.png,1,full block
birch_planks.png,1,full block
birch_sapling.png,1,cross
birch_trapdoor.png,0
blackstone.png,1,full block
blackstone_top.png,1,full block
black_candle.png,0
black_candle_lit.png,0
black_concrete.png,1,full block
black_concrete_powder.png,1,full block
black_glazed_terracotta.png,1,full block
black_shulker_box.png,2,full block,entity
black_stained_glass.png,1,full block
black_stained_glass_pane_top.png,0
black_terracotta.png,1,full block
black_wool.png,1,full block
blast_furnace_front.png,1,full block
blast_furnace_front_on.png,2,full block,animated
blast_furnace_side.png,1,full block
blast_furnace_top.png,2,full block,top
blue_candle.png,0
blue_candle_lit.png,0
blue_concrete.png,1,full block
blue_concrete_powder.png,1,full block
blue_glazed_terracotta.png,1,full block
blue_ice.png,1,full block
blue_orchid.png,1,cross
blue_shulker_box.png,2,full block,entity
blue_stained_glass.png,1,full block
blue_stained_glass_pane_top.png,0
blue_terracotta.png,1,full block
blue_wool.png,1,full block
bone_block_side.png,1,full block
bone_block_top.png,1,full block
bookshelf.png,1,full block
brain_coral.png,1,cross
brain_coral_block.png,1,full block
brain_coral_fan.png,1,cross
brewing_stand.png,1,unused
brewing_stand_base.png,1,unused
bricks.png,1,full block
brown_candle.png,0
brown_candle_lit.png,0
brown_concrete.png,1,full block
brown_concrete_powder.png,1,full block
brown_glazed_terracotta.png,1,full block
brown_mushroom.png,1,cross
brown_mushroom_block.png,1,full block
brown_shulker_box.png,2,full block,entity
brown_stained_glass.png,1,full block
brown_stained_glass_pane_top.png,0
brown_terracotta.png,1,full block
brown_wool.png,1,full block
bubble_coral.png,1,cross
bubble_coral_block.png,1,full block
bubble_coral_fan.png,1,cross
budding_amethyst.png,1,full block
bush.png,1,unused
cactus_bottom.png,1,bottom
cactus_flower.png,1,cross
cactus_side.png,0
cactus_top.png,1,top
cake_bottom.png,1,bottom
cake_inner.png,0
cake_side.png,0
cake_top.png,1,top
calcite.png,1,full block
calibrated_sculk_sensor_amethyst.png,1,unused
calibrated_sculk_sensor_input_side.png,1,unused
calibrated_sculk_sensor_top.png,1,unused
campfire_fire.png,1,animated
campfire_log.png,1,unused
campfire_log_lit.png,2,animated,unused
candle.png,0
candle_lit.png,0
carrots_stage0.png,0
carrots_stage1.png,0
carrots_stage2.png,0
carrots_stage3.png,0
